Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,27,18575.85,Weekly,Owned,6.5,Yes,0,Spouse,80,23914.6,Yes,Yes,Freelance,Savings,0,0
Private,97,44890.62,Monthly,Rented,7.8,Yes,0,Friend,42,21964.46,No,No,OFW Remittance,Insurance,0,0
Public,8,18670.45,Biweekly,Owned,4.2,Yes,1,Parent,38,18483.21,Yes,Yes,None,Insurance,0,1
Public,72,41466.38,Biweekly,Owned,6.0,Yes,4,Sibling,58,33509.12,Yes,No,OFW Remittance,Community Plan,0,0
Private,60,27677.09,Bimonthly,Rented,9.6,No,2,Spouse,60,27769.99,Yes,Yes,Business,None,0,0
Public,29,31610.38,Weekly,Rented,1.1,No,4,Sibling,46,23043.37,No,Yes,Business,Savings,0,0
Public,20,26812.58,Weekly,Rented,3.2,No,3,Parent,41,17540.38,No,Yes,Business,Insurance,0,0
Public,86,23765.55,Weekly,Rented,9.7,Yes,4,Friend,95,33885.37,Yes,Yes,Freelance,Insurance,0,0
Public,14,20463.08,Bimonthly,Rented,1.3,No,5,Parent,99,16814.67,Yes,No,OFW Remittance,Community Plan,0,0
Private,26,32648.39,Bimonthly,Rented,1.9,No,0,Sibling,107,32839.94,Yes,No,Freelance,None,0,0
Public,107,31444.62,Weekly,Rented,7.6,Yes,4,Spouse,81,35616.13,Yes,No,Freelance,Insurance,0,0
Public,116,37115.86,Bimonthly,Owned,1.6,Yes,4,Spouse,113,30257.01,No,Yes,Business,Community Plan,0,0
Public,42,18390.01,Monthly,Owned,1.0,Yes,4,Spouse,114,24351.14,No,No,None,Savings,0,0
Private,19,34868.8,Bimonthly,Rented,7.9,Yes,0,Friend,88,28611.63,No,Yes,OFW Remittance,Community Plan,0,0
Private,105,29916.81,Biweekly,Rented,2.2,No,0,Friend,81,30251.14,No,Yes,None,Insurance,0,0
Private,51,34312.79,Bimonthly,Rented,4.9,No,5,Parent,11,44424.49,No,Yes,Business,None,0,0
Public,10,36705.51,Bimonthly,Rented,8.0,No,5,Parent,95,34265.02,No,Yes,Business,Insurance,0,0
Public,88,21745.9,Monthly,Rented,3.7,Yes,0,Spouse,119,32963.35,Yes,Yes,Business,Community Plan,0,0
Public,22,44421.8,Monthly,Rented,7.4,No,2,Spouse,83,33236.65,No,Yes,Business,Community Plan,0,0
Public,49,31494.7,Monthly,Rented,7.8,No,2,Parent,15,32522.08,Yes,No,OFW Remittance,Insurance,0,1
Public,32,28784.16,Monthly,Owned,3.1,No,1,Sibling,87,38820.04,No,No,None,None,0,0
Private,12,23030.95,Weekly,Rented,8.5,No,2,Friend,99,25102.94,Yes,Yes,None,Community Plan,0,0
Public,115,32640.7,Biweekly,Owned,2.9,Yes,3,Sibling,94,40806.62,Yes,No,OFW Remittance,None,0,0
Public,63,22737.33,Bimonthly,Rented,4.5,No,5,Friend,45,41977.57,Yes,Yes,None,Community Plan,0,0
Private,102,23021.09,Bimonthly,Rented,2.9,No,4,Spouse,101,36388.36,Yes,Yes,OFW Remittance,None,0,0
Private,51,35424.88,Weekly,Owned,5.0,Yes,3,Friend,118,22624.58,Yes,Yes,Business,None,0,0
Public,46,35396.08,Monthly,Rented,9.2,No,2,Friend,112,18219.67,No,No,Business,Savings,0,0
Private,84,32870.6,Weekly,Rented,4.5,Yes,3,Sibling,78,23905.99,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,56,15676.18,Monthly,Owned,9.8,Yes,0,Sibling,79,15205.11,No,No,OFW Remittance,Community Plan,0,0
Private,108,21574.59,Bimonthly,Rented,3.1,Yes,1,Friend,106,39722.49,No,Yes,Freelance,Savings,0,0
Private,45,28822.01,Weekly,Rented,6.5,Yes,3,Spouse,61,40521.97,Yes,No,Business,Savings,0,1
Public,41,19176.03,Monthly,Rented,4.3,Yes,4,Sibling,83,35939.54,No,Yes,None,Community Plan,0,0
Private,92,39746.46,Monthly,Owned,3.6,No,5,Spouse,80,31103.53,No,No,Business,Community Plan,0,0
Public,76,26485.47,Weekly,Owned,5.9,Yes,0,Parent,111,24563.31,No,No,None,Insurance,0,0
Public,94,16571.88,Biweekly,Owned,10.0,Yes,2,Friend,25,44967.73,No,Yes,OFW Remittance,Community Plan,0,0
Private,96,33768.38,Bimonthly,Owned,9.0,No,1,Spouse,107,44155.21,Yes,Yes,Freelance,Community Plan,0,0
